date,n_open,n_new,n_closed
2007-01-15,1388,31,55
2007-01-16,1364,38,13
2007-01-17,1389,39,23
2007-01-18,1405,42,107
2007-01-19,1340,91,60
2007-01-20,1371,53,90
2007-01-21,1334,28,12
2007-01-22,1350,43,69
2007-01-23,1324,50,49
2007-01-24,1325,39,41
2007-01-25,1323,71,37
2007-01-26,1357,63,48
2007-01-27,1372,43,47
2007-01-28,1368,29,32
2007-01-29,1365,40,50
2007-01-30,1355,42,75
2007-01-31,1322,46,37
2007-02-01,1331,42,40
2007-02-02,1333,67,55
2007-02-03,1345,56,64
2007-02-04,1337,28,10
2007-02-05,1355,44,77
2007-02-06,1322,49,34
2007-02-07,1337,50,81
2007-02-08,1306,40,59
2007-02-09,1287,77,65
2007-02-10,1299,45,28
2007-02-11,1316,32,23
2007-02-12,1325,38,61
2007-02-13,1302,32,28
2007-02-14,1306,51,63
2007-02-15,1294,36,79
2007-02-16,1251,77,49
2007-02-17,1279,60,24
2007-02-18,1315,37,38
2007-02-19,1314,31,19
2007-02-20,1326,57,44
2007-02-21,1339,56,109
2007-02-22,1286,50,51
2007-02-23,1285,62,47
2007-02-24,1300,46,56
2007-02-25,1290,33,33
2007-02-26,1290,45,52
2007-02-27,1283,54,49
2007-02-28,1288,47,38
2007-03-01,1297,54,54
2007-03-02,1297,78,51
2007-03-03,1324,40,108
2007-03-04,1256,38,38
2007-03-05,1256,40,26
2007-03-06,1270,48,56
2007-03-07,1262,44,14
2007-03-08,1292,65,64
2007-03-09,1293,87,74
2007-03-10,1306,63,46
2007-03-11,1323,38,39
2007-03-12,1322,54,82
2007-03-13,1294,72,49
2007-03-14,1317,47,51
2007-03-15,1313,45,58
2007-03-16,1300,95,38
2007-03-17,1357,61,28
2007-03-18,1390,46,42
2007-03-19,1394,68,37
2007-03-20,1425,73,53
2007-03-21,1445,57,56
2007-03-22,1446,68,108
2007-03-23,1406,82,28
2007-03-24,1460,64,70
2007-03-25,1454,41,62
2007-03-26,1433,75,56
2007-03-27,1452,46,52
2007-03-28,1446,58,70
2007-03-29,1434,58,61
2007-03-30,1431,79,63
2007-03-31,1447,67,51
2007-04-01,1463,40,31
2007-04-02,1472,64,76
2007-04-03,1460,48,33
2007-04-04,1475,37,91
2007-04-05,1421,43,95
2007-04-06,1369,51,21
2007-04-07,1399,51,96
2007-04-08,1354,39,22
2007-04-09,1371,52,19
2007-04-10,1404,41,32
2007-04-11,1413,48,61
2007-04-12,1400,61,18
2007-04-13,1443,82,88
2007-04-14,1437,37,58
2007-04-15,1416,44,36
2007-04-16,1424,59,40
2007-04-17,1443,47,60
2007-04-18,1430,50,47
2007-04-19,1433,60,39
2007-04-20,1454,93,17
2007-04-21,1530,67,137
2007-04-22,1460,75,78
2007-04-23,1457,61,51
2007-04-24,1467,60,60
2007-04-25,1467,50,52
2007-04-26,1465,56,77
2007-04-27,1444,78,25
2007-04-28,1497,61,55
2007-04-29,1503,46,55
2007-04-30,1494,68,62
2007-05-01,1500,70,59
2007-05-02,1511,62,70
2007-05-03,1503,66,34
2007-05-04,1535,70,43
2007-05-05,1562,54,124
2007-05-06,1492,36,23
2007-05-07,1505,52,32
2007-05-08,1525,65,65
2007-05-09,1525,56,34
2007-05-10,1547,61,68
2007-05-11,1540,77,61
2007-05-12,1556,65,51
2007-05-13,1570,32,56
2007-05-14,1546,62,32
2007-05-15,1576,46,31
2007-05-16,1591,62,109
2007-05-17,1544,60,33
2007-05-18,1571,94,63
2007-05-19,1602,58,82
2007-05-20,1578,37,115
2007-05-21,1500,61,34
2007-05-22,1527,60,76
2007-05-23,1511,51,52
2007-05-24,1510,55,68
2007-05-25,1497,99,101
2007-05-26,1495,63,7
2007-05-27,1551,38,57
2007-05-28,1532,45,32
2007-05-29,1545,58,48
2007-05-30,1555,50,94
2007-05-31,1511,71,104
2007-06-01,1478,103,59
2007-06-02,1522,61,46
2007-06-03,1537,61,68
2007-06-04,1530,45,91
2007-06-05,1484,59,44
2007-06-06,1499,52,35
2007-06-07,1516,56,17
2007-06-08,1555,67,69
2007-06-09,1553,69,46
2007-06-10,1576,41,53
2007-06-11,1564,77,32
2007-06-12,1609,66,24
2007-06-13,1651,57,51
2007-06-14,1657,59,110
2007-06-15,1606,95,33
2007-06-16,1668,59,27
2007-06-17,1700,52,103
2007-06-18,1649,49,89
2007-06-19,1609,68,47
2007-06-20,1630,59,13
2007-06-21,1676,58,33
2007-06-22,1701,72,74
2007-06-23,1699,53,13
2007-06-24,1739,49,45
2007-06-25,1743,51,97
2007-06-26,1697,57,58
2007-06-27,1696,54,98
2007-06-28,1652,50,50
2007-06-29,1652,64,29
2007-06-30,1687,58,69
2007-07-01,1676,38,35
2007-07-02,1679,45,34
2007-07-03,1690,61,88
2007-07-04,1663,75,63
2007-07-05,1675,46,61
2007-07-06,1660,56,74
2007-07-07,1642,48,85
2007-07-08,1605,46,76
2007-07-09,1575,45,28
2007-07-10,1592,41,77
2007-07-11,1556,51,52
2007-07-12,1555,58,95
2007-07-13,1518,55,81
2007-07-14,1492,47,11
2007-07-15,1528,52,66
2007-07-16,1514,51,46
2007-07-17,1519,67,49
2007-07-18,1537,52,27
2007-07-19,1562,59,50
2007-07-20,1571,62,112
2007-07-21,1521,46,15
2007-07-22,1552,52,76
2007-07-23,1528,43,41
2007-07-24,1530,46,27
2007-07-25,1549,49,45
2007-07-26,1553,62,105
2007-07-27,1510,56,78
2007-07-28,1488,47,101
2007-07-29,1434,44,82
2007-07-30,1396,52,16
2007-07-31,1432,50,48
2007-08-01,1434,52,47
2007-08-02,1439,39,75
2007-08-03,1403,72,45
2007-08-04,1430,49,8
2007-08-05,1471,41,43
2007-08-06,1469,44,63
2007-08-07,1450,66,23
2007-08-08,1493,50,62
2007-08-09,1481,48,74
2007-08-10,1455,53,57
2007-08-11,1451,60,25
2007-08-12,1486,38,108
2007-08-13,1416,48,26
2007-08-14,1438,36,59
2007-08-15,1415,53,48
2007-08-16,1420,42,17
2007-08-17,1445,52,72
2007-08-18,1425,57,39
2007-08-19,1443,33,54
2007-08-20,1422,58,55
2007-08-21,1425,53,36
2007-08-22,1442,46,92
2007-08-23,1396,47,65
2007-08-24,1378,67,34
2007-08-25,1411,51,19
2007-08-26,1443,54,74
2007-08-27,1423,43,20
2007-08-28,1446,46,62
2007-08-29,1430,35,36
2007-08-30,1429,34,71
2007-08-31,1392,66,53
2007-09-01,1405,35,22
2007-09-02,1418,36,48
2007-09-03,1406,28,48
2007-09-04,1386,40,42
2007-09-05,1384,58,85
2007-09-06,1357,51,45
2007-09-07,1363,50,108
2007-09-08,1305,52,98
2007-09-09,1259,34,28
2007-09-10,1265,51,46
2007-09-11,1270,37,58
2007-09-12,1249,48,43
2007-09-13,1254,53,39
2007-09-14,1268,75,26
2007-09-15,1317,56,82
2007-09-16,1291,39,57
2007-09-17,1273,42,60
2007-09-18,1255,58,40
2007-09-19,1273,65,11
2007-09-20,1327,40,71
2007-09-21,1296,73,49
2007-09-22,1320,52,29
2007-09-23,1343,51,54
2007-09-24,1340,64,72
2007-09-25,1332,75,18
2007-09-26,1389,51,99
2007-09-27,1341,43,33
2007-09-28,1351,60,41
2007-09-29,1370,74,80
2007-09-30,1364,41,40
2007-10-01,1365,64,44
2007-10-02,1385,52,66
2007-10-03,1371,58,49
2007-10-04,1380,48,44
2007-10-05,1384,87,39
2007-10-06,1432,52,15
2007-10-07,1469,53,94
2007-10-08,1428,46,51
2007-10-09,1423,51,66
2007-10-10,1408,71,78
2007-10-11,1401,38,46
2007-10-12,1393,55,53
2007-10-13,1395,50,37
2007-10-14,1408,35,30
2007-10-15,1413,58,86
2007-10-16,1385,50,48
2007-10-17,1387,63,67
2007-10-18,1383,57,87
2007-10-19,1353,62,31
2007-10-20,1384,80,42
2007-10-21,1422,45,42
2007-10-22,1425,53,79
2007-10-23,1399,36,42
2007-10-24,1393,54,41
2007-10-25,1406,46,50
2007-10-26,1402,73,48
2007-10-27,1427,57,63
2007-10-28,1421,25,98
2007-10-29,1348,52,71
2007-10-30,1329,61,53
2007-10-31,1337,69,41
2007-11-01,1365,44,49
2007-11-02,1360,73,47
2007-11-03,1386,45,75
2007-11-04,1356,40,41
2007-11-05,1355,59,71
2007-11-06,1343,49,68
2007-11-07,1324,42,47
2007-11-08,1319,54,54
2007-11-09,1319,67,16
2007-11-10,1370,56,42
2007-11-11,1384,47,27
2007-11-12,1404,50,131
2007-11-13,1323,53,68
2007-11-14,1308,55,73
2007-11-15,1290,44,13
2007-11-16,1321,75,37
2007-11-17,1359,49,32
2007-11-18,1376,28,5
2007-11-19,1399,38,28
2007-11-20,1409,44,48
2007-11-21,1405,46,105
2007-11-22,1346,31,25
2007-11-23,1352,42,26
2007-11-24,1368,36,70
2007-11-25,1334,23,56
2007-11-26,1301,45,92
2007-11-27,1254,47,35
2007-11-28,1266,51,43
2007-11-29,1274,45,42
2007-11-30,1277,86,44
2007-12-01,1319,53,19
2007-12-02,1353,36,3
2007-12-03,1386,43,53
2007-12-04,1376,46,47
2007-12-05,1375,45,59
2007-12-06,1361,48,52
2007-12-07,1357,57,52
2007-12-08,1362,46,39
2007-12-09,1369,29,16
2007-12-10,1382,40,41
2007-12-11,1381,46,67
2007-12-12,1360,51,23
2007-12-13,1388,37,51
2007-12-14,1374,68,76
2007-12-15,1366,41,96
2007-12-16,1311,21,60
2007-12-17,1272,49,54
2007-12-18,1267,37,45
2007-12-19,1259,37,42
2007-12-20,1254,42,42
2007-12-21,1254,59,9
2007-12-22,1304,36,104
2007-12-23,1236,36,44
2007-12-24,1228,25,52
2007-12-25,1201,43,6
2007-12-26,1238,56,7
2007-12-27,1287,54,52
2007-12-28,1289,30,29
2007-12-29,1290,42,36
2007-12-30,1296,38,30
2007-12-31,1304,83,45
2008-01-01,1342,35,61
2008-01-02,1316,43,69
2008-01-03,1290,44,29
2008-01-04,1305,39,86
2008-01-05,1258,34,48
2008-01-06,1244,37,37
2008-01-07,1244,46,47
2008-01-08,1243,43,82
2008-01-09,1204,51,77
2008-01-10,1178,71,29
2008-01-11,1220,89,29
2008-01-12,1280,38,49
2008-01-13,1269,38,47
2008-01-14,1260,40,50
2008-01-15,1250,27,31
2008-01-16,1246,44,99
2008-01-17,1191,44,99
2008-01-18,1136,73,11
2008-01-19,1198,44,19
2008-01-20,1223,27,38
2008-01-21,1212,42,90
2008-01-22,1164,46,17
2008-01-23,1193,32,58
2008-01-24,1167,47,48
2008-01-25,1166,57,108
2008-01-26,1115,58,40
2008-01-27,1133,33,18
2008-01-28,1148,44,28
2008-01-29,1164,39,47
2008-01-30,1156,46,26
2008-01-31,1176,51,35
2008-02-01,1192,85,53
2008-02-02,1224,42,48
2008-02-03,1218,35,38
2008-02-04,1215,42,8
2008-02-05,1249,52,45
2008-02-06,1256,37,97
2008-02-07,1196,38,68
2008-02-08,1166,88,93
2008-02-09,1161,54,79
2008-02-10,1136,29,61
2008-02-11,1104,47,49
2008-02-12,1102,28,34
2008-02-13,1096,50,49
2008-02-14,1097,75,51
2008-02-15,1121,80,67
2008-02-16,1134,63,44
2008-02-17,1153,34,47
2008-02-18,1140,42,39
2008-02-19,1143,55,62
2008-02-20,1136,53,26
2008-02-21,1163,40,38
2008-02-22,1165,75,61
2008-02-23,1179,58,48
2008-02-24,1189,36,41
2008-02-25,1184,39,46
2008-02-26,1177,49,94
2008-02-27,1132,46,47
2008-02-28,1131,39,36
2008-02-29,1134,83,28
2008-03-01,1189,61,71
2008-03-02,1179,40,16
2008-03-03,1203,38,43
2008-03-04,1198,42,26
2008-03-05,1214,44,118
2008-03-06,1140,38,55
2008-03-07,1123,64,44
2008-03-08,1143,44,51
2008-03-09,1136,33,24
2008-03-10,1145,52,52
2008-03-11,1145,46,35
2008-03-12,1156,47,44
2008-03-13,1159,48,58
2008-03-14,1149,91,65
2008-03-15,1175,57,40
2008-03-16,1192,41,30
2008-03-17,1203,41,39
2008-03-18,1205,51,60
2008-03-19,1196,50,33
2008-03-20,1213,36,65
2008-03-21,1184,43,71
2008-03-22,1156,43,60
2008-03-23,1139,37,40
2008-03-24,1136,46,15
2008-03-25,1167,63,51
2008-03-26,1179,64,81
2008-03-27,1162,44,31
2008-03-28,1175,83,44
2008-03-29,1214,59,64
2008-03-30,1209,38,39
2008-03-31,1208,44,53
2008-04-01,1199,69,58
2008-04-02,1210,45,96
2008-04-03,1159,57,32
2008-04-04,1184,81,53
2008-04-05,1212,81,50
2008-04-06,1243,49,58
2008-04-07,1234,64,52
2008-04-08,1246,55,67
2008-04-09,1234,48,49
2008-04-10,1233,64,68
2008-04-11,1229,58,35
2008-04-12,1252,56,28
2008-04-13,1280,46,53
2008-04-14,1273,56,40
2008-04-15,1289,69,56
2008-04-16,1302,66,86
2008-04-17,1282,63,35
2008-04-18,1310,88,73
2008-04-19,1325,50,97
2008-04-20,1278,43,28
2008-04-21,1293,56,41
2008-04-22,1308,63,54
2008-04-23,1317,60,68
2008-04-24,1309,45,113
2008-04-25,1241,85,40
2008-04-26,1286,53,56
2008-04-27,1283,39,19
2008-04-28,1303,42,49
2008-04-29,1296,45,48
2008-04-30,1293,37,18
2008-05-01,1312,64,65
2008-05-02,1311,91,67
2008-05-03,1335,55,68
2008-05-04,1322,42,58
2008-05-05,1306,64,44
2008-05-06,1326,66,38
2008-05-07,1354,44,46
2008-05-08,1352,53,42
2008-05-09,1363,83,105
2008-05-10,1341,58,51
2008-05-11,1348,45,26
2008-05-12,1367,46,56
2008-05-13,1357,56,60
2008-05-14,1353,52,81
2008-05-15,1324,47,33
2008-05-16,1338,80,18
2008-05-17,1400,46,113
2008-05-18,1333,29,58
2008-05-19,1304,54,60
2008-05-20,1298,53,79
2008-05-21,1272,55,28
2008-05-22,1299,42,92
2008-05-23,1249,60,25
2008-05-24,1284,45,48
2008-05-25,1281,44,18
2008-05-26,1307,47,102
2008-05-27,1252,52,42
2008-05-28,1262,49,54
2008-05-29,1257,60,58
2008-05-30,1259,104,67
2008-05-31,1296,67,40
2008-06-01,1323,57,1
2008-06-02,1379,63,106
2008-06-03,1336,60,25
2008-06-04,1371,51,49
2008-06-05,1373,44,108
2008-06-06,1309,86,13
2008-06-07,1382,81,76
2008-06-08,1387,46,22
2008-06-09,1411,66,28
2008-06-10,1449,62,88
2008-06-11,1423,69,59
2008-06-12,1433,45,102
2008-06-13,1376,98,61
2008-06-14,1413,60,49
2008-06-15,1424,42,30
2008-06-16,1436,62,57
2008-06-17,1441,46,83
2008-06-18,1404,61,88
2008-06-19,1377,52,63
2008-06-20,1366,52,40
2008-06-21,1378,55,59
2008-06-22,1374,39,46
2008-06-23,1367,61,47
2008-06-24,1381,53,66
2008-06-25,1368,49,33
2008-06-26,1384,43,33
2008-06-27,1394,62,99
2008-06-28,1357,54,74
2008-06-29,1337,46,47
2008-06-30,1336,50,23
2008-07-01,1363,60,99
2008-07-02,1324,54,93
2008-07-03,1285,75,24
2008-07-04,1336,71,77
2008-07-05,1330,48,8
2008-07-06,1370,50,34
2008-07-07,1386,52,81
2008-07-08,1357,71,40
2008-07-09,1388,50,62
2008-07-10,1376,50,96
